Ente;Ano;Mes;ProcessoLicitatorio;Participante;Resultado;TipoParticipacao;DataHomologacao;Modalidade;Objeto;QuantidadeParticipante;ValorHomologacao;Tipologia;ValorEstimado
PIRAI;2026;3;PIR-020213/000306/2025;DINAMAXX BRAZ COMÉRCIO VAREJISTA E ATACADISTA LTDA;VENCEDOR;COMUM;2026-03-24;PREGÃO ELETRÔNICO;OBJETO DESTE PREGÃO ELETRÔNICO É O REGISTRO DE PREÇOS PARA EVENTUAL AQUISIÇÃO DE MATERIAL DE EXPEDIENTE PARA ATENDER AS DEMANDAS DAS ESCOLAS DA REDE DE ENSINO MUNICIPAL E DA SECRETARIA MUNICIPAL DE ED;14;1319433.6;OUTRAS COMPRAS;2551483.9
PIRAI;2026;3;PIR-020213/000306/2025;AGNES COMERCIAL LTDA;VENCEDOR;COMUM;2026-03-24;PREGÃO ELETRÔNICO;OBJETO DESTE PREGÃO ELETRÔNICO É O REGISTRO DE PREÇOS PARA EVENTUAL AQUISIÇÃO DE MATERIAL DE EXPEDIENTE PARA ATENDER AS DEMANDAS DAS ESCOLAS DA REDE DE ENSINO MUNICIPAL E DA SECRETARIA MUNICIPAL DE ED;14;1319433.6;OUTRAS COMPRAS;2551483.9
PIRAI;2026;3;PIR-020213/000306/2025;LUG RC MATERIAIS DE CONSTRUCAO LTDA;VENCEDOR;COMUM;2026-03-24;PREGÃO ELETRÔNICO;OBJETO DESTE PREGÃO ELETRÔNICO É O REGISTRO DE PREÇOS PARA EVENTUAL AQUISIÇÃO DE MATERIAL DE EXPEDIENTE PARA ATENDER AS DEMANDAS DAS ESCOLAS DA REDE DE ENSINO MUNICIPAL E DA SECRETARIA MUNICIPAL DE ED;14;1319433.6;OUTRAS COMPRAS;2551483.9
PIRAI;2026;3;PIR-020213/000306/2025;CASTRO E CASTRO COMERCIO E IMPORTACAO LTDA;VENCEDOR;COMUM;2026-03-24;PREGÃO ELETRÔNICO;OBJETO DESTE PREGÃO ELETRÔNICO É O REGISTRO DE PREÇOS PARA EVENTUAL AQUISIÇÃO DE MATERIAL DE EXPEDIENTE PARA ATENDER AS DEMANDAS DAS ESCOLAS DA REDE DE ENSINO MUNICIPAL E DA SECRETARIA MUNICIPAL DE ED;14;1319433.6;OUTRAS COMPRAS;2551483.9
PIRAI;2026;3;PIR-020213/000306/2025;LUG RC MATERIAIS DE CONSTRUCAO LTDA;VENCEDOR;COMUM;2026-03-24;PREGÃO ELETRÔNICO;OBJETO DESTE PREGÃO ELETRÔNICO É O REGISTRO DE PREÇOS PARA EVENTUAL AQUISIÇÃO DE MATERIAL DE EXPEDIENTE PARA ATENDER AS DEMANDAS DAS ESCOLAS DA REDE DE ENSINO MUNICIPAL E DA SECRETARIA MUNICIPAL DE ED;14;1319433.6;OUTRAS COMPRAS;2551483.9
PIRAI;2026;3;PIR-020213/000306/2025;CASTRO E CASTRO COMERCIO E IMPORTACAO LTDA;VENCEDOR;COMUM;2026-03-24;PREGÃO ELETRÔNICO;OBJETO DESTE PREGÃO ELETRÔNICO É O REGISTRO DE PREÇOS PARA EVENTUAL AQUISIÇÃO DE MATERIAL DE EXPEDIENTE PARA ATENDER AS DEMANDAS DAS ESCOLAS DA REDE DE ENSINO MUNICIPAL E DA SECRETARIA MUNICIPAL DE ED;14;1319433.6;OUTRAS COMPRAS;2551483.9
PIRAI;2026;3;PIR-020213/000306/2025;LUG RC MATERIAIS DE CONSTRUCAO LTDA;VENCEDOR;COMUM;2026-03-24;PREGÃO ELETRÔNICO;OBJETO DESTE PREGÃO ELETRÔNICO É O REGISTRO DE PREÇOS PARA EVENTUAL AQUISIÇÃO DE MATERIAL DE EXPEDIENTE PARA ATENDER AS DEMANDAS DAS ESCOLAS DA REDE DE ENSINO MUNICIPAL E DA SECRETARIA MUNICIPAL DE ED;14;1319433.6;OUTRAS COMPRAS;2551483.9
PIRAI;2026;3;PIR-020213/000306/2025;DINAMAXX BRAZ COMÉRCIO VAREJISTA E ATACADISTA LTDA;VENCEDOR;COMUM;2026-03-24;PREGÃO ELETRÔNICO;OBJETO DESTE PREGÃO ELETRÔNICO É O REGISTRO DE PREÇOS PARA EVENTUAL AQUISIÇÃO DE MATERIAL DE EXPEDIENTE PARA ATENDER AS DEMANDAS DAS ESCOLAS DA REDE DE ENSINO MUNICIPAL E DA SECRETARIA MUNICIPAL DE ED;14;1319433.6;OUTRAS COMPRAS;2551483.9
PIRAI;2026;2;PIR-020216/000399/2025;ODONTOPAZ PRODUTOS ODONTOLOGICOS LTDA;VENCEDOR;COMUM;2026-03-20;PREGÃO ELETRÔNICO;REGISTRO DE PREÇOS PARA EVENTUAL AQUISIÇÃO DE MATERIAIS ODONTOLÓGICOS PARA ABASTECIMENTO DA REDE MUNICIPAL DE SAÚDE.;7;177548.27;OUTRAS COMPRAS;302622.84
PIRAI;2026;2;PIR-020216/000399/2025;J.PINHEIRO-MATERIAIS MEDICOS E ODONTOLOGICOS LTDA;VENCEDOR;COMUM;2026-03-20;PREGÃO ELETRÔNICO;REGISTRO DE PREÇOS PARA EVENTUAL AQUISIÇÃO DE MATERIAIS ODONTOLÓGICOS PARA ABASTECIMENTO DA REDE MUNICIPAL DE SAÚDE.;7;177548.27;OUTRAS COMPRAS;302622.84
PIRAI;2026;2;PIR-020216/000399/2025;COMERCIAL CAETANO VIEIRA LTDA;VENCEDOR;COMUM;2026-03-20;PREGÃO ELETRÔNICO;REGISTRO DE PREÇOS PARA EVENTUAL AQUISIÇÃO DE MATERIAIS ODONTOLÓGICOS PARA ABASTECIMENTO DA REDE MUNICIPAL DE SAÚDE.;7;177548.27;OUTRAS COMPRAS;302622.84
PIRAI;2026;2;PIR-020216/000399/2025;Golden Produtos Odontológicos Ltda.;VENCEDOR;COMUM;2026-03-20;PREGÃO ELETRÔNICO;REGISTRO DE PREÇOS PARA EVENTUAL AQUISIÇÃO DE MATERIAIS ODONTOLÓGICOS PARA ABASTECIMENTO DA REDE MUNICIPAL DE SAÚDE.;7;177548.27;OUTRAS COMPRAS;302622.84
PIRAI;2026;2;PIR-020216/000399/2025;DENTAL BONSUCESSO PRODUTOS ODONTOLOGICOS LTDA;VENCEDOR;COMUM;2026-03-20;PREGÃO ELETRÔNICO;REGISTRO DE PREÇOS PARA EVENTUAL AQUISIÇÃO DE MATERIAIS ODONTOLÓGICOS PARA ABASTECIMENTO DA REDE MUNICIPAL DE SAÚDE.;7;177548.27;OUTRAS COMPRAS;302622.84
PIRAI;2026;2;PIR-020216/000399/2025;RIO MEIER COMERCIO DE MATERIAIS ODONTO-HOSPITALARE;VENCEDOR;COMUM;2026-03-20;PREGÃO ELETRÔNICO;REGISTRO DE PREÇOS PARA EVENTUAL AQUISIÇÃO DE MATERIAIS ODONTOLÓGICOS PARA ABASTECIMENTO DA REDE MUNICIPAL DE SAÚDE.;7;177548.27;OUTRAS COMPRAS;302622.84
PIRAI;2026;2;PIR-020216/000399/2025;DENTAL IPO LTDA;VENCEDOR;COMUM;2026-03-20;PREGÃO ELETRÔNICO;REGISTRO DE PREÇOS PARA EVENTUAL AQUISIÇÃO DE MATERIAIS ODONTOLÓGICOS PARA ABASTECIMENTO DA REDE MUNICIPAL DE SAÚDE.;7;177548.27;OUTRAS COMPRAS;302622.84
PIRAI;2026;3;PIR-020216/000415/2026;S M G LIMA RIBEIRO ME;VENCEDOR;COMUM;2026-04-28;PREGÃO ELETRÔNICO;REGISTRO DE PREÇOS PARA EVENTUAL AQUISIÇÃO DE REFEIÇÕES PARA OS FUNCIONÁRIOS E PLANTONISTAS DA REDE DE URGÊNCIA E EMERGÊNCIA DE ARROZAL.;1;148294.0;OUTRAS COMPRAS;255460.0
PIRAI;2026;3;PIR-020216/000460/2026;LUMIAR HEALTH BUILDERS EQUIPAMENTOS HOSPITALARES L;VENCEDOR;COMUM;2026-05-06;PREGÃO ELETRÔNICO;REGISTRO DE PREÇOS PARA EVENTUAL LOCAÇÃO DE CONCENTRADORES DE OXIGÊNIO E APARELHOS RESPIRATÓRIOS CPAP E BIPAP.;1;44698.8;OUTROS SERVIÇOS;213091.8
PIRAI;2026;6;PIR-020216/000525/2026;HOSPINOVA DISTRIBUIDORA DE PRODUTOS HOSPITALARES L;VENCEDOR;COMUM;2026-06-19;PREGÃO ELETRÔNICO;REGISTRO DE PREÇOS PARA EVENTUAL AQUISIÇÃO DE MEDICAMENTOS PARA ATENDIMENTO DAS DEMANDAS JUDICIAIS.;6;420117.9;MEDICAMENTOS (AQUISIÇÃO DE);1589758.8
PIRAI;2026;6;PIR-020216/000525/2026;DISTRIBUIDORA MAX PHARMA LTDA;VENCEDOR;COMUM;2026-06-19;PREGÃO ELETRÔNICO;REGISTRO DE PREÇOS PARA EVENTUAL AQUISIÇÃO DE MEDICAMENTOS PARA ATENDIMENTO DAS DEMANDAS JUDICIAIS.;6;420117.9;MEDICAMENTOS (AQUISIÇÃO DE);1589758.8
PIRAI;2026;6;PIR-020216/000525/2026;PROMEFARMA MEDICAMENTOS E PRODUTOS HOSPITALARES LT;VENCEDOR;COMUM;2026-06-19;PREGÃO ELETRÔNICO;REGISTRO DE PREÇOS PARA EVENTUAL AQUISIÇÃO DE MEDICAMENTOS PARA ATENDIMENTO DAS DEMANDAS JUDICIAIS.;6;420117.9;MEDICAMENTOS (AQUISIÇÃO DE);1589758.8
